AuthorID,Author,Date,Content,Attachments,Reactions
145773507546972160,chartguy.,2024-01-01T05:56:49.8910000+08:00,Hi,,
1022647674526249001,Decentraland#7255,2024-01-01T08:00:03.9650000+08:00,,,
1027665342203449494,toxicwaifu.dcl.eth,2024-01-01T08:01:33.3890000+08:00,Happy New Year from Germany ✨🍀,,
874076939349020763,cheddarqueso,2024-01-01T08:23:59.8600000+08:00,Happy New Year DCL fam and team. I am thankful for each and every one of you that makes this project happen. I wish you all infinite blessings and abundance. Decentraland changed my life. Today I am writing this from my study abroad trip in Australia... none of this would have happened without you beautiful people and your magical ideas. No matter where I go or what I do... my metabirthplace will always be here. I love you guys. Thank you. 🙏,,"🍀 (2),❤️ (1)"
857823111201292288,help_center017,2024-01-01T12:11:38.1030000+08:00,Welcome,,
857823111201292288,help_center017,2024-01-01T12:11:44.7230000+08:00,Happy new year 🎊,,
1162195824873320538,0xlaszlo,2024-01-01T14:23:05.2080000+08:00,"Wishing you a Happy New Year filled with hope, joy, and the strength that comes from unity. 2024 a year of collective strength and shared triumphs. Happy New Year, united we stand!",,pinkhearts (2)
1043083389462401146,kaze_no_kai,2024-01-01T15:58:48.0490000+08:00,Happy New Year All  ❤️  A huge thanks to all of you for being part of our community 🙏  Let's have a blast in 2024  💪,,"❤️ (4),dcl (2)"
644829157657804800,nairuza,2024-01-01T17:16:00.4920000+08:00,:magiclight:Happy New Year guys! :magiclight:,,
781110728307507240,eldanak_dcl,2024-01-01T17:45:27.0610000+08:00,Happy New Year everyone!,,
814059053348552724,hyperborean5124,2024-01-01T19:19:04.5120000+08:00,Happy New Year❤️,,❤️ (2)
702729940029800519,metaryuk,2024-01-01T21:47:26.1330000+08:00,GM and Happy New Year everyone! i did a thread on how financial organizations are exploring virtual presence in Decentraland. Do check it out and RT it to spread to your followers for awareness: https://twitter.com/metaryuk/status/1741817580514611232,,❤️ (4)
879228085399068712,kimbonft,2024-01-01T22:59:20.9550000+08:00,Happy New Year everyone!,,❤️ (8)
729446093955530842,babolex,2024-01-02T04:11:32.3140000+08:00,Happy New Year!,,
1103876849601368135,zigg.,2024-01-02T04:14:27.7920000+08:00,Happy New Year everyone! 🥳 🥳,,
